100, mergesortImproved, 188, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 188, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 210, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 189, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 183, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 183, nano-seconds, 1
10, mergesortImproved, 187, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 183, nano-seconds, 1
100, mergesortImproved, 195, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 188, nano-seconds, 1
10, mergesortImproved, 208, nano-seconds, 1
100, mergesortImproved, 196, nano-seconds, 1
1000, mergesortImproved, 196, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 187, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 188, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 208, nano-seconds, 1
10, mergesortImproved, 195, nano-seconds, 1
100, mergesortImproved, 196, nano-seconds, 1
1000, mergesortImproved, 196, nano-seconds, 1
10000, mergesortImproved, 196, nano-seconds, 1
10, mergesortImproved, 196, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 188, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 190, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 182, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 206, nano-seconds, 1
10, mergesortImproved, 188, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 196, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 188, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 189, nano-seconds, 1
10, mergesortImproved, 208, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 183, nano-seconds, 1
100, mergesortImproved, 188, nano-seconds, 1
1000, mergesortImproved, 182, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 182, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 187, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 187, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 187, nano-seconds, 1
10000, mergesortImproved, 208, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 182, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 182, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 187, nano-seconds, 1
10000, mergesortImproved, 198, nano-seconds, 1
10, mergesortImproved, 205, nano-seconds, 1
100, mergesortImproved, 193, nano-seconds, 1
1000, mergesortImproved, 191, nano-seconds, 1
10000, mergesortImproved, 191, nano-seconds, 1
10, mergesortImproved, 191, nano-seconds, 1
100, mergesortImproved, 183, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 180, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 188, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 211, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 194, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 188, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 198, nano-seconds, 1
100, mergesortImproved, 195, nano-seconds, 1
1000, mergesortImproved, 200, nano-seconds, 1
10000, mergesortImproved, 187, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 187, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 182, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 207, nano-seconds, 1
10, mergesortImproved, 195, nano-seconds, 1
100, mergesortImproved, 196, nano-seconds, 1
1000, mergesortImproved, 194, nano-seconds, 1
10000, mergesortImproved, 196, nano-seconds, 1
10, mergesortImproved, 196, nano-seconds, 1
100, mergesortImproved, 182, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 182, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 208, nano-seconds, 1
10, mergesortImproved, 183, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 182, nano-seconds, 1
1000, mergesortImproved, 188, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 182, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 182, nano-seconds, 1
10000, mergesortImproved, 211, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 187, nano-seconds, 1
10000, mergesortImproved, 188, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 188, nano-seconds, 1
10000, mergesortImproved, 189, nano-seconds, 1
10, mergesortImproved, 182, nano-seconds, 1
100, mergesortImproved, 190, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 182, nano-seconds, 1
10000, mergesortImproved, 183, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 188, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 187, nano-seconds, 1
100, mergesortImproved, 183, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 183, nano-seconds, 1
100, mergesortImproved, 183, nano-seconds, 1
1000, mergesortImproved, 182, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 206, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 187, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 187, nano-seconds, 1
100, mergesortImproved, 188, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 189, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 190, nano-seconds, 1
10000, mergesortImproved, 189, nano-seconds, 1
10, mergesortImproved, 188, nano-seconds, 1
100, mergesortImproved, 187, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
